status,aspect,sentiment,compound
Normal,therapy,positive,0.3736
Normal,self_harm,negative,-0.5267
Normal,self_harm,negative,-0.6908
Normal,appetite,positive,0.5233
Normal,social_support,positive,0.5233
Normal,hopelessness,positive,0.5023
Normal,sleep,negative,-0.4404
Normal,social_support,positive,0.2514
Normal,sleep,positive,0.5178
Normal,social_support,positive,0.4939
Normal,social_support,negative,-0.3603
Normal,sleep,negative,-0.0572
Normal,motivation,negative,-0.0572
Normal,sleep,negative,-0.6124
Normal,appetite,neutral,0.0
Normal,energy,negative,-0.4063
Normal,sleep,negative,-0.6705
Normal,concentration,positive,0.4215
Normal,social_support,neutral,0.0258
Normal,sleep,neutral,0.0
Normal,appetite,positive,0.5777
Normal,sleep,neutral,0.0
Normal,medication,negative,-0.3736
Normal,social_support,positive,0.8417
Normal,hopelessness,neutral,0.0
Normal,concentration,positive,0.6124
Normal,appetite,positive,0.4019
Normal,social_support,negative,-0.7149
Normal,appetite,positive,0.5719
Normal,social_support,positive,0.8779
Normal,social_support,negative,-0.5157
Normal,social_support,positive,0.0772
Normal,social_support,positive,0.2542
Normal,sleep,positive,0.8309
Normal,concentration,neutral,0.0
Normal,social_support,negative,-0.3612
Normal,social_support,negative,-0.2255
Normal,therapy,neutral,0.0
Normal,hopelessness,positive,0.2716
Normal,hopelessness,neutral,0.0
Normal,social_support,neutral,0.0
Normal,hopelessness,negative,-0.7845
Normal,social_support,neutral,0.0
Normal,sleep,positive,0.3182
Normal,appetite,negative,-0.3597
Normal,hopelessness,positive,0.7906
Normal,social_support,positive,0.9343
Normal,social_support,positive,0.4939
Normal,appetite,positive,0.4939
Normal,sleep,positive,0.0717
Normal,appetite,negative,-0.6652
Normal,therapy,neutral,0.0
Normal,therapy,positive,0.4754
Normal,sleep,positive,0.1531
Normal,sleep,neutral,0.0258
Normal,social_support,positive,0.6711
Normal,social_support,positive,0.7351
Normal,social_support,positive,0.4404
Normal,social_support,positive,0.8555
Normal,hopelessness,negative,-0.1027
Normal,sleep,negative,-0.3612
Normal,hopelessness,neutral,0.0
Normal,hopelessness,negative,-0.4404
Normal,sleep,neutral,0.0
Normal,sleep,negative,-0.6124
Normal,social_support,positive,0.079
Normal,motivation,positive,0.4588
Normal,concentration,positive,0.875
Normal,sleep,negative,-0.7003
Normal,social_support,positive,0.4939
Normal,hopelessness,positive,0.4939
Normal,hopelessness,positive,0.34
Normal,sleep,negative,-0.5777
Normal,social_support,positive,0.2878
Normal,social_support,positive,0.7906
Normal,hopelessness,positive,0.7906
Normal,sleep,negative,-0.6369
Normal,sleep,negative,-0.7399
Normal,social_support,negative,-0.7399
Normal,hopelessness,positive,0.9022
Normal,hopelessness,positive,0.4118
Normal,social_support,positive,0.4939
Normal,social_support,negative,-0.5719
Normal,sleep,negative,-0.2716
Normal,sleep,negative,-0.4927
Normal,concentration,positive,0.2955
Normal,sleep,negative,-0.4404
Normal,social_support,positive,0.8472
Normal,social_support,positive,0.7615
Normal,appetite,neutral,0.0
Normal,sleep,positive,0.1139
Normal,appetite,positive,0.1139
Normal,social_support,negative,-0.6261
Normal,sleep,negative,-0.5057
Normal,social_support,negative,-0.5057
Normal,hopelessness,negative,-0.3182
Normal,social_support,negative,-0.3612
Normal,sleep,neutral,0.0
Normal,appetite,positive,0.69
Normal,sleep,negative,-0.1779
Normal,social_support,positive,0.6369
Normal,sleep,negative,-0.4404
Normal,hopelessness,positive,0.2951
Normal,hopelessness,negative,-0.865
Normal,hopelessness,negative,-0.5574
Normal,social_support,positive,0.4019
Normal,sleep,positive,0.8442
Normal,sleep,negative,-0.2732
Normal,social_support,positive,0.8176
Normal,social_support,positive,0.7906
Normal,sleep,positive,0.3412
Normal,sleep,positive,0.5423
Normal,concentration,positive,0.4939
Normal,sleep,negative,-0.5777
Normal,social_support,negative,-0.4215
Normal,sleep,negative,-0.4404
Normal,social_support,positive,0.4767
Normal,concentration,positive,0.7845
Normal,social_support,neutral,0.0
Normal,sleep,negative,-0.7351
Normal,sleep,negative,-0.7003
Normal,medication,positive,0.753
Normal,therapy,positive,0.753
